892,Surface Area of 3D Shapes,58.20%,Easy
893,Groups of Special-Equivalent Strings,65.30%,Easy
896,Monotonic Array,56.90%,Easy
905,Sort Array By Parity,73.90%,Easy
908,Smallest Range I,65.40%,Easy
914,X of a Kind in a Deck of Cards,34.00%,Easy
917,Reverse Only Letters,57.40%,Easy
922,Sort Array By Parity II,68.30%,Easy
925,Long Pressed Name,45.10%,Easy
929,Unique Email Addresses,67.60%,Easy
933,Number of Recent Calls,70.80%,Easy
937,Reorder Data in Log Files,53.60%,Easy
942,DI String Match,71.40%,Easy
944,Delete Columns to Make Sorted,70.00%,Easy
949,Largest Time for Given Digits,36.10%,Easy
953,Verifying an Alien Dictionary,54.90%,Easy
961,N-Repeated Element in Size 2N Array,73.20%,Easy
970,Powerful Integers,39.80%,Easy
976,Largest Perimeter Triangle,57.30%,Easy
985,Sum of Even Numbers After Queries,61.90%,Easy
989,Add to Array-Form of Integer,44.10%,Easy
999,Available Captures for Rook,66.20%,Easy
1002,Find Common Characters,67.00%,Easy
1005,Maximize Sum Of Array After K Negations,50.90%,Easy
1009,Complement of Base 10 Integer,59.40%,Easy
1010,Pairs of Songs With Total Durations Divisible by 60,47.30%,Easy
1013,Partition Array Into Three Parts With Equal Sum,55.70%,Easy
1021,Remove Outermost Parentheses,76.90%,Easy
1022,Sum of Root To Leaf Binary Numbers,65.30%,Easy
1025,Divisor Game,65.50%,Easy
1030,Matrix Cells in Distance Order,65.10%,Easy
1033,Moving Stones Until Consecutive,40.30%,Easy
1037,Valid Boomerang,37.60%,Easy
1042,Flower Planting With No Adjacent,48.30%,Easy
1047,Remove All Adjacent Duplicates In String,67.00%,Easy
1050,Actors and Directors Who Cooperated At Least Three Times,71.90%,Easy
1051,Height Checker,69.40%,Easy
1056,Confusing Number,50.30%,Easy
1064,Fixed Point,67.90%,Easy
1065,Index Pairs of a String,59.60%,Easy
1068,Product Sales Analysis I,86.20%,Easy
1069,Product Sales Analysis II,84.90%,Easy
1071,Greatest Common Divisor of Strings,53.40%,Easy
1075,Project Employees I,64.70%,Easy
1076,Project Employees II,53.70%,Easy
1078,Occurrences After Bigram,64.40%,Easy
1082,Sales Analysis I,72.00%,Easy
1083,Sales Analysis II,51.60%,Easy
1084,Sales Analysis III,55.40%,Easy
1085,Sum of Digits in the Minimum Number,74.60%,Easy
1086,High Five,78.10%,Easy
1089,Duplicate Zeros,58.80%,Easy
